Starting logging...
67. Solution: [0, 5][1, 1][2, 6][3, 0][4, 3][5, 7][6, 4][7, 2]
68. Solution: [0, 5][1, 2][2, 0][3, 6][4, 4][5, 7][6, 1][7, 3]
69. Solution: [0, 5][1, 2][2, 0][3, 7][4, 3][5, 1][6, 6][7, 4]
70. Solution: [0, 5][1, 2][2, 0][3, 7][4, 4][5, 1][6, 3][7, 6]
71. Solution: [0, 5][1, 2][2, 4][3, 6][4, 0][5, 3][6, 1][7, 7]
72. Solution: [0, 5][1, 2][2, 4][3, 7][4, 0][5, 3][6, 1][7, 6]
73. Solution: [0, 5][1, 2][2, 6][3, 1][4, 3][5, 7][6, 0][7, 4]
74. Solution: [0, 5][1, 2][2, 6][3, 1][4, 7][5, 4][6, 0][7, 3]
75. Solution: [0, 5][1, 2][2, 6][3, 3][4, 0][5, 7][6, 1][7, 4]
76. Solution: [0, 5][1, 3][2, 0][3, 4][4, 7][5, 1][6, 6][7, 2]
77. Solution: [0, 5][1, 3][2, 1][3, 7][4, 4][5, 6][6, 0][7, 2]
78. Solution: [0, 5][1, 3][2, 6][3, 0][4, 2][5, 4][6, 1][7, 7]
79. Solution: [0, 5][1, 3][2, 6][3, 0][4, 7][5, 1][6, 4][7, 2]
80. Solution: [0, 5][1, 7][2, 1][3, 3][4, 0][5, 6][6, 4][7, 2]
81. Solution: [0, 6][1, 0][2, 2][3, 7][4, 5][5, 3][6, 1][7, 4]
82. Solution: [0, 6][1, 1][2, 3][3, 0][4, 7][5, 4][6, 2][7, 5]
83. Solution: [0, 6][1, 1][2, 5][3, 2][4, 0][5, 3][6, 7][7, 4]
84. Solution: [0, 6][1, 2][2, 0][3, 5][4, 7][5, 4][6, 1][7, 3]
85. Solution: [0, 6][1, 2][2, 7][3, 1][4, 4][5, 0][6, 5][7, 3]
86. Solution: [0, 6][1, 3][2, 1][3, 4][4, 7][5, 0][6, 2][7, 5]
87. Solution: [0, 6][1, 3][2, 1][3, 7][4, 5][5, 0][6, 2][7, 4]
88. Solution: [0, 6][1, 4][2, 2][3, 0][4, 5][5, 7][6, 1][7, 3]
89. Solution: [0, 7][1, 1][2, 3][3, 0][4, 6][5, 4][6, 2][7, 5]
90. Solution: [0, 7][1, 1][2, 4][3, 2][4, 0][5, 6][6, 3][7, 5]
91. Solution: [0, 7][1, 2][2, 0][3, 5][4, 1][5, 4][6, 6][7, 3]
92. Solution: [0, 7][1, 3][2, 0][3, 2][4, 5][5, 1][6, 6][7, 4]
End reached!
Total of 92 solutions found.
